Number of Clients, Time
10, b'[468.133000]us\n'
20, b'[16686.249500]us\n'
30, b'[86831.570667]us\n'
40, b'[145670.022750]us\n'
50, b'[249502.891000]us\n'
60, b'[339350.989333]us\n'
70, b'[409052.546377]us\n'
80, b'[518816.587875]us\n'
90, b'[678022.167778]us\n'
100, b'[812927.676200]us\n'
