Number of Clients, Time
10, b'[240.385714]us\n'
20, b'[228.330000]us\n'
30, b'[221.181818]us\n'
40, b'[291.465333]us\n'
50, b'[203.793636]us\n'
60, b'[194.106000]us\n'
70, b'[207.119474]us\n'
80, b'[198.786875]us\n'
90, b'[339.205600]us\n'
100, b'[200.555263]us\n'
