Number of Clients, Time
10, b'[357.625000]us\n'
20, b'[417.547000]us\n'
30, b'[5276.978667]us\n'
40, b'[61122.567250]us\n'
50, b'[42781.958810]us\n'
60, b'[125801.339800]us\n'
70, b'[245774.322813]us\n'
80, b'[284741.699375]us\n'
90, b'[448618.538778]us\n'
100, b'[521071.201429]us\n'
