Number of Clients, Time
10, b'[267.872000]us\n'
20, b'[222.063500]us\n'
30, b'[212.785000]us\n'
40, b'[245.930250]us\n'
50, b'[598.696200]us\n'
60, b'[4431.280862]us\n'
70, b'[28525.566143]us\n'
80, b'[37707.794625]us\n'
90, b'[79194.305111]us\n'
100, b'[112266.173000]us\n'
